sample	vaf_based	purity.median	titan	ploidy	sequenza	ploidy.estimate.x	ploidy.mean.cn.x	cellularity	ploidy.estimate.y	ploidy.mean.cn.y	purity.titan	ploidy.titan	ccf.pyclone	purity_ABSOLUTE	ploidy_ABSOLUTE	CCF.manual
Breast_1	0.175199943887421	0.171052631578947	0.8119	2.103	0.84	2.2	2.12206446839967	0.84	2.2	2.122064468	0.8119	2.103	0.6755	0.37	4.32	0.84
Breast_2	0.217475970960629	0.202040816326531	0.5875	2.135	0.73	2.2	2.12640931523524	0.73	2.2	2.126409315	0.5875	2.135	0.619	0.46	4.23	0.73
Breast_3	0.2364280532926	0.222222222222222	0.6527	2.079	0.26	2.5	2.36605393635483	0.26	2.5	2.366053936	0.6527	2.079	0.5093	0.23	4.52	0.65
Breast_4	0.227340697602733	0.217391304347826	0.589	1.967	0.18	4.5	4.0562495971437	0.15	2.5	2.099784593	0.589	1.967	0.5395	0.3	5.9	0.589
Breast_5	0.173198735048075	0.150997150997151	0.5526	2.215	0.2	2.4	2.40966825561064	0.2	2.4	2.409668256	0.5526	2.215	0.5875	0.24	4.21	0.5875
Coad_1	0.652886329284419	0.641025641025641	0.4678	2.041	0.84	5.1	5.71707993008949	0.59	1.6	5.71707993	0.4678	2.041	0.5575	0.49	1.97	0.59
Coad_2	0.373163005892288	0.366412213740458	0.4384	1.93	0.46	2	1.98651162820667	0.46	2	1.986511628	0.4384	1.93	0.4827	0.27	4.03	0.48
Coad_3	0.486875862632695	0.5	0.5431	1.928	0.63	2	1.94451401702102	0.63	2	1.944514017	0.5431	1.928	0.5869	0.57	1.98	0.57
Coad_4	0.520680132942435	0.504959642127784	0.5668	1.844	0.57	2	1.92314239586412	0.57	2	1.923142396	0.5668	1.844	0.5587	0.39	3.88	0.57
Coad_5	0.462977560562242	0.449242424242424	0.4759	1.982	0.26	5.5	5.57485876153229	0.4	2.2	5.574858762	0.4759	1.982	0.5005	0.32	5.26	0.5
Lung_1	0.0804469057717835	0.0754716981132075	0.0605	2.003	0.1	1.8	1.91983244380139	0.1	1.8	1.919832444	0.0605	2.003	0.6128	0.2	1.96	0.61
Lung_2	0.192165640924258	0.19047619047619	0.0381	2.007	0.43	2	2.00074642474166	0.43	2	2.000746425	0.0381	2.007	0.7266	0.17	1.95	0.43
Lung_3	0.108236536230587	0.1	0.0313	1.989	0.1	1.6	1.91616294804482	0.1	1.6	1.916162948	0.0313	1.989	0.5796	0.17	1.95	0.57
Lung_4	0.301491963854196	0.296296296296296	0.0314	1.988	0.1	1.6	2.01992968129065	0.1	1.6	2.019929681	0.0314	1.988	0.5476	0.3	2	0.3
Lung_5	0.0868018566699778	0.0782868816576682	0.0352	2.031	0.1	1.5	1.7542842363113	0.1	1.5	1.754284236	0.0352	2.031	0.6563	NA	NA	0.11
OveryLM_1	0.314930397316515	0.32	0.5399	3.019	0.56	3.4	3.11003864091844	0.56	3.4	3.110038641	0.5399	3.019	0.6504	0.55	3.12	0.55
OveryLM_2	0.486349945909883	0.437791084497671	0.5138	3.051	0.56	3.4	3.12410147120254	0.56	3.4	3.124101471	0.5138	3.051	0.6594	0.54	3.16	0.56
OveryLM_3	0.235411029148415	0.195121951219512	0.4753	3.008	0.46	3.3	3.13969108189699	0.46	3.3	3.139691082	0.4753	3.008	0.5733	0.47	3.18	0.62
OveryLM_4	0.322933360087092	0.285714285714286	0.5662	3.057	0.57	3.4	3.17254611107771	0.57	3.4	3.172546111	0.5662	3.057	0.6458	0.56	3.23	0.56
OveryLM_5	0.367300532399511	0.334368530020704	0.5198	3.056	0.53	3.4	3.17295412621908	0.53	3.4	3.172954126	0.5198	3.056	0.621	0.51	3.2	0.53
OveryRM_1	0.326386713499871	0.307692307692308	0.5025	3.034	0.48	3.5	3.23451029924432	0.48	3.5	3.234510299	0.5025	3.034	0.6013	0.5	3.21	0.5
OveryRM_2	0.331892485762659	0.32	0.5052	1.894	0.4	3.5	3.1996137242885	0.4	3.5	3.199613724	0.5052	1.894	0.5269	0.39	3.24	0.5
OveryRM_3	0.727580956515162	0.725663716814159	0.4661	2.966	0.45	3.5	3.18694438537245	0.45	3.5	3.186944385	0.4661	2.966	0.581	0.46	3.2	0.6
OveryRM_4	0.691540677227278	0.666666666666667	0.5149	3.017	0.5	3.5	3.19212687889707	0.5	3.5	3.192126879	0.5149	3.017	0.6124	0.51	3.21	0.5
OveryRM_5	0.261466112953717	0.257142857142857	0.4369	1.957	0.34	3.5	3.20111782427574	0.34	3.5	3.201117824	0.4369	1.957	0.4828	0.33	3.26	0.5
OveryRM_6	0.31077901296113	0.312056737588652	0.4774	2.914	0.42	3.4	3.17548745448066	0.42	3.4	3.175487454	0.4774	2.914	0.5331	0.38	3.24	0.59
