cytoband	9p21.3	5q12.1	13q14.2	10q23.31	16q23.1	8p23.2	19p13.3	4q34.3	1p36.31	2q22.1	6q26	4q22.1	2q37.3	3p14.2	22q13.32	11p15.5	18q23	Xp21.1	9p23	6p25.3	20p12.1	17p13.1	16p13.3	11q23.2	17q11.2	11q25	15q15.1	18q21.2	3q13.31	14q23.3	12p13.1	10p15.3	10q26.3	21q11.2	7q36.1	6q16.1	7q31.1	13q12.11	3p26.2	19q13.32	8p21.2	12q24.33	19q13.43	12q23.1	15q11.2	21q22.3	9q21.11	7p22.3	4p16.3	14q32.32	1p36.23	1p13.2	1q44	1p36.11	
q value	0	2.2401e-298	2.3939e-316	2.407e-302	3.5188e-266	8.605e-293	2.6464e-244	2.0089e-256	3.0044e-196	2.2679e-189	1.0442e-169	2.1046e-170	7.8081e-173	1.0854e-139	1.9147e-89	1.0108e-88	1.3067e-107	3.789e-53	1.6333e-199	5.3413e-51	4.2316e-47	1.1204e-40	7.1073e-37	1.3808e-97	7.9062e-27	4.3743e-112	6.0398e-71	5.4313e-71	8.6854e-18	7.477e-31	8.476e-16	1.4513e-12	2.4434e-57	1.5198e-13	2.5214e-27	3.3939e-22	3.9517e-24	1.1646e-65	1.751e-21	5.132e-36	1.159e-87	5.2759e-24	9.5499e-37	1.4242e-16	3.9751e-40	1.985e-05	2.1324e-21	0.005502	0.0065498	1.1714e-15	2.6226e-197	3.6459e-34	0.24474	3.5251e-180	
residual q value	0	2.2401e-298	5.8577e-274	3.2239e-266	3.5188e-266	2.9178e-251	2.6464e-244	8.8193e-188	9.5164e-176	2.0892e-151	3.3974e-146	2.1331e-130	1.2342e-117	2.5069e-116	1.9147e-89	1.0108e-88	1.3984e-53	3.789e-53	2.3705e-52	5.3413e-51	4.2316e-47	1.1204e-40	7.1073e-37	1.3677e-27	7.8816e-27	1.5315e-26	4.1091e-26	1.3278e-23	9.4972e-18	2.7725e-17	8.6472e-16	1.4406e-12	5.4883e-12	1.1773e-11	1.7083e-11	5.7334e-10	8.9502e-09	2.1805e-08	3.9065e-08	6.2234e-08	9.4448e-06	1.0979e-05	0.00016989	0.0002206	0.00052883	0.0021068	0.0034731	0.0055056	0.0065498	0.23039	1	1	1	1	
wide peak boundaries	chr9:21161317-23690570	chr5:58998410-59780946	chr13:48875329-49064807	chr10:89615138-89755074	chr16:78098006-79031486	chr8:2112968-4251283	chr19:1103715-1272039	chr4:179280062-182757119	chr1:6222647-6303778	chr2:140708948-143637838	chr6:161693099-163153207	chr4:91271445-93240505	chr2:242162274-243199373	chr3:59701447-61547330	chr22:48668582-51304566	chr11:1-549958	chr18:75573485-78077248	chrX:32117084-32611359	chr9:7887952-12687261	chr6:1608837-2624052	chr20:14301156-16252980	chr17:7535461-7591760	chr16:5144019-7780235	chr11:109134235-116191378	chr17:29326736-29722618	chr11:133795220-135006516	chr15:41795901-42121792	chr18:48472083-48650073	chr3:115440285-118620828	chr14:66963153-67658112	chr12:12844234-12921132	chr10:1-857150	chr10:135190263-135214343	chr21:1-15594370	chr7:151817415-152136074	chr6:91004277-98472563	chr7:108535383-111366370	chr13:1-19663410	chr3:1-3116437	chr19:47244313-48279236	chr8:22111872-26607629	chr12:132552184-133851895	chr19:58421989-59128983	chr12:99119269-100424312	chr15:1-27113873	chr21:42827479-42911705	chr9:38619152-71152237	chr7:1-1303032	chr4:1-1284820	chr14:103192370-103391697	chr1:7888439-8925111	chr1:113668999-116655216	chr1:244552289-247285505	chr1:26900639-27322419	
genes in wide peak	MTAP	MIR582	LPAR6	PTEN	PIH1	RNA5SP251	SBNO2	RNA5SP173	ICMT	LRP1B	PARK2	RN7SKP248	FARP2	FHIT	MAPK8IP2	RNH1	CTDP1	RNA5SP501	PTPRD	FOXC1	FLRT3	ATP1B2	RBFOX1	USP28	EVI2A	B3GAT1	TYRO3	ELAC1	LSAMP	GPHN	CDKN1B	ZMYND11	PAOX	TPTE	KMT2C	UFL1	LRRN3	PHF2P2	CNTN6	EHD2	RHOBTB2	CHFR	SLC27A5	FAM71C	CYFIP1	TMPRSS2	CNTNAP3	CYP2W1	IDUA	TRAF3	UTS2	CSDE1	ADSS	PIGV	
	IFNA6	FKSG52	RB1	SNORD74|ENSG00000200891.1		RN7SL872P	ATP5D	SNORD65|ENSG00000212191.1	RPL22	RN7SL283P			HDLBP	U3|ENSG00000212211.1	TYMP	SIRT3	ADNP2	MIR3915	SNORD27|ENSG00000251699.1	GMDS	RNA5SP475	TP53	SNORA40|ENSG00000252138.1	REXO2	OMG	GLB1L2	RPAP1	SMAD4	RN7SL582P		MIR613	DIP2C		POTED		FHL5	IMMP2L	LINC00388	CHL1	AP2S1	ADAM28	ZNF268	ZNF324	ANKS1B	UBE3A	SNORA32|ENSG00000207503.1	ANKRD20A3	ADAP1	FGFRL1	snoU13|ENSG00000238853.1	TNFRSF9	SIKE1	DESI2	NUDC	
	IFNA8			KLLN			C19orf26	LINC00290	RNF207				STK25	NPCDR1	NCAPH2	IFITM3	RBFA		RN7SL5P					RBM7	EVI2B	ACAD8	MAPKBP1	RN7SL695P	LINC00903			TUBB8		BAGE2		GPR63	snoU13|ENSG00000238922.1	LINC00349	CNTN4	GLTSCR1	ADAM7	GOLGA3	ZNF446	RNA5SP366	SNRPN		SPATA31A3	C7orf50	TMEM175		ERRFI1	RSBN1	ZNF670	ARID1A	
	IFNA21						STK11	RN7SKP13	LINC00337				GAL3ST2		MOV10L1	ATHL1	PQLC1							ZW10	NF1	THYN1	MGA		LINC00901			PRR26		TEKT4P2		NDUFAF4	FLJ00325	LINC00387	RN7SKP144	SLC1A5	DPYSL2	FBRSL1	ZNF8		NIPA2		CBWD5	HEATR2	ZNF141		PARK7	MAGI3	SCCPDH	NR0B2	
	IFNA5						GPX4						SEPT2		PANX2	HRAS	NFATC1							ALG9	MIR4733	VPS26B	MIR626		TUSC7			RNA5SP298		LIPI		EPHA7		LINC00442	RN7SL120P	CCDC9	SLC39A14	PXMP2	RPS5		HERC2P2		PGM5	SUN1	PDE6B		RERE	AMPD1	HNRNPU	GPN2	
	CDKN2B						MIDN						DTYMK		RABL2B	NLRP6	TXNL4A							NXPE1		NCAPD3			RN7SL815P			RNA5SP297		RNA5SP488		MAP3K7		RNA5SP24		BBC3	R3HCC1	ANKLE2	MZF1		TUBGCP5		CNTNAP3B	GPR146	DGKQ		SLC45A1	BCAS2	AHCTF1	C1orf172	
	IFNA16												ING5		PPP6R2	PTDSS2	ATP9B							CRYAB		JAM3			MIR4447			RN7SL754P		ANKRD20A11P		MMS22L				GLTSCR2	TNFRSF10A	POLE	ZBTB45		GOLGA8I		FAM27C	GPER	SLC26A1		SNORA77|ENSG00000221083.1	OLFML3	KIF26B	SFN	
	CDKN2A												ATG4B		SBF1	ODF3	PARD6G							ZBTB16		GLB1L3						MIR5699		ANKRD30BP2		FUT9				NAPA	NEFM	GALNT9	A1BG		NIPA1		FAM27B	UNCX	SPON2		RN7SL729P	PHTF1	TFB2M	GPATCH3	
	MIR31HG												BOK		MIOX	BET1L	KCNG2							POU2AF1										CYP4F29P		MANEA				MEIS3	NEFL	NOC4L	ZSCAN18		GOLGA6L2		ANKRD20A4	FAM20C	CTBP1			DCLRE1B	CNST	ZDHHC18	
